Country,Confirmed_Cases,Deaths,Recovered,Month
Egypt,2844.0,205.0,646.0,04/17/2020
India,15722.0,521.0,2463.0,04/18/2020
El Salvador,225.0,7.0,48.0,04/21/2020
Austria,14925.0,510.0,11328.0,04/22/2020
Mainland China,82790.0,4632.0,77157.0,04/22/2020
Vietnam,268.0,0.0,224.0,04/23/2020
Zimbabwe,28.0,4.0,2.0,04/23/2020
Romania,10417.0,567.0,2817.0,04/24/2020
Bahamas,78.0,11.0,15.0,04/25/2020
Lebanon,710.0,24.0,145.0,04/27/2020
Slovakia,1381.0,18.0,403.0,04/27/2020
Samoa,0.0,0.0,0.0,04/28/2020
Thailand,2938.0,54.0,2652.0,04/28/2020
Kazakhstan,3138.0,25.0,819.0,04/29/2020
Barbados,81.0,7.0,39.0,05/01/2020
Slovenia,1439.0,94.0,239.0,05/02/2020
Algeria,4474.0,463.0,1936.0,05/03/2020
Romania,13512.0,818.0,5269.0,05/04/2020
Cabo Verde,191.0,2.0,38.0,05/06/2020
Benin,140.0,2.0,53.0,05/07/2020
Peru,67307.0,1889.0,21349.0,05/10/2020
Philippines,11350.0,751.0,2106.0,05/12/2020
Laos,19.0,0.0,14.0,05/13/2020
Australia,6989.0,98.0,6297.0,05/13/2020
Cameroon,3105.0,140.0,1567.0,05/16/2020
Brunei,141.0,1.0,136.0,05/20/2020
Rwanda,320.0,0.0,217.0,05/21/2020
Peru,88541.0,2523.0,28272.0,05/16/2020
Vietnam,1548.0,35.0,1411.0,01/23/2021
Chile,694647.0,17854.0,649802.0,01/23/2021
Latvia,61008.0,1111.0,48134.0,01/24/2021
Finland,42772.0,655.0,31000.0,01/25/2021
Trinidad and Tobago,7564.0,134.0,7168.0,01/31/2021
Guyana,7654.0,177.0,6635.0,02/01/2021
Slovakia,250357.0,4711.0,218923.0,02/01/2021
Sudan,29449.0,1812.0,21504.0,02/01/2021
Vanuatu,1.0,0.0,1.0,02/01/2021
Pakistan,547648.0,11746.0,502537.0,02/01/2021
Costa Rica,195537.0,2650.0,155045.0,02/03/2021
Saint Kitts and Nevis,39.0,0.0,36.0,02/03/2021
Switzerland,528524.0,9530.0,317600.0,02/03/2021
Vietnam,1985.0,35.0,1468.0,02/06/2021
Kyrgyzstan,85071.0,1426.0,81635.0,02/07/2021
Russia,3923461.0,75430.0,3418329.0,02/07/2021
Bosnia and Herzegovina,124101.0,4813.0,98470.0,02/08/2021
Chad,3508.0,125.0,2913.0,02/08/2021
Libya,124882.0,1974.0,105422.0,02/08/2021
South Korea,81930.0,1486.0,72226.0,02/09/2021
Nigeria,143516.0,1710.0,118012.0,02/11/2021
Zambia,67681.0,931.0,61302.0,02/12/2021
Congo (Kinshasa),24240.0,693.0,15217.0,02/13/2021
Croatia,237459.0,5299.0,229709.0,02/13/2021
United Arab Emirates,345605.0,1001.0,326780.0,02/13/2021
Czech Republic,1099654.0,18430.0,978749.0,02/16/2021
Estonia,55295.0,514.0,43663.0,02/18/2021
Maldives,18340.0,58.0,15863.0,02/18/2021
Nepal,273166.0,2058.0,269505.0,02/18/2021
Algeria,111764.0,2958.0,76940.0,02/20/2021
France,3642654.0,84271.0,253337.0,02/20/2021
Kyrgyzstan,85831.0,1452.0,82690.0,02/20/2021
Slovenia,184767.0,3776.0,169896.0,02/21/2021
Botswana,27721.0,300.0,22773.0,02/23/2021
Cyprus,33567.0,230.0,2057.0,02/23/2021
Sierra Leone,3862.0,79.0,2609.0,02/23/2021
Vanuatu,1.0,0.0,1.0,02/23/2021
Russia,4142126.0,82666.0,3697787.0,02/23/2021
Comoros,3539.0,144.0,3190.0,02/24/2021
West Bank and Gaza,177768.0,1999.0,163795.0,02/24/2021
Sao Tome and Principe,1719.0,27.0,1315.0,02/25/2021
Belgium,766654.0,22034.0,0.0,02/26/2021
Equatorial Guinea,6095.0,92.0,5632.0,03/01/2021
Rwanda,18986.0,264.0,17322.0,03/01/2021
Bahrain,123531.0,453.0,116487.0,03/02/2021
Denmark,213486.0,2371.0,204120.0,03/03/2021
Iraq,713994.0,13507.0,650015.0,03/04/2021
Namibia,39466.0,436.0,37043.0,03/04/2021
United Arab Emirates,402205.0,1286.0,387278.0,03/04/2021
Cabo Verde,15683.0,152.0,15007.0,03/05/2021
Kazakhstan,266803.0,3177.0,244578.0,03/05/2021
US,2.8965728E7,524647.0,0.0,03/05/2021
South Africa,1520206.0,50647.0,1439515.0,03/06/2021
Iraq,726548.0,13572.0,660541.0,03/07/2021
Maldives,20794.0,64.0,18124.0,03/07/2021
Argentina,2154694.0,53121.0,1951540.0,03/08/2021
Micronesia,1.0,0.0,1.0,03/08/2021
Sudan,30540.0,1915.0,23268.0,03/08/2021
India,1.1285561E7,158189.0,1.0938146E7,03/10/2021
Eritrea,3009.0,7.0,2592.0,03/11/2021
Tanzania,509.0,21.0,183.0,03/11/2021
Ethiopia,176618.0,2555.0,143828.0,03/15/2021
El Salvador,62531.0,1958.0,59576.0,03/16/2021
New Zealand,2434.0,26.0,2311.0,03/17/2021
Saint Lucia,4113.0,55.0,3887.0,03/20/2021
Kenya,120910.0,2011.0,89622.0,03/21/2021
Hungary,586123.0,18703.0,378176.0,03/23/2021
Holy See,27.0,0.0,15.0,03/24/2021
Italy,3512453.0,107636.0,2832939.0,03/27/2021
Syria,18498.0,1239.0,12377.0,03/28/2021
Grenada,155.0,1.0,152.0,03/29/2021
Botswana,39848.0,568.0,36958.0,03/31/2021
Estonia,106424.0,902.0,81859.0,03/31/2021
Liechtenstein,2670.0,56.0,2568.0,03/31/2021
Sweden,804886.0,13465.0,0.0,03/31/2021
Croatia,274054.0,5967.0,255639.0,04/01/2021
Luxembourg,61881.0,749.0,57366.0,04/01/2021
Oman,160018.0,1681.0,144639.0,04/02/2021
South Africa,1550724.0,52946.0,1475398.0,04/02/2021
Maldives,24783.0,67.0,21646.0,04/04/2021
Croatia,280164.0,6083.0,262227.0,04/05/2021
Finland,80068.0,860.0,46000.0,04/06/2021
Thailand,29571.0,95.0,26873.0,04/06/2021
Burundi,3017.0,6.0,773.0,04/07/2021
Moldova,239146.0,5307.0,219728.0,04/08/2021
Vanuatu,3.0,0.0,1.0,04/10/2021
Laos,51.0,0.0,47.0,04/11/2021
San Marino,4956.0,85.0,4477.0,04/11/2021
